"","Word","n"
"1","aardvark",1
"2","abandon",1
"3","abandonment",1
"4","abbreviated",1
"5","abduct",1
"6","ability",10
"7","abnormal",5
"8","abroad",1
"9","absence",2
"10","absent",3
"11","absorb",1
"12","abstract",1
"13","absurd",1
"14","abundance",3
"15","abundant",1
"16","abused",1
"17","Academy",2
"18","accelerate",1
"19","accent",1
"20","accentuate",1
"21","accept",9
"22","acceptance",1
"23","accepted",1
"24","accident",21
"25","accompany",1
"26","accomplish",5
"27","accomplished",1
"28","account",6
"29","accumulate",1
"30","accurate",1
"31","accuse",1
"32","achieve",4
"33","achievement",3
"34","acknowledge",3
"35","acquaint",1
"36","acquaintance",1
"37","acquire",2
"38","acrobat",1
"39","acrobats",1
"40","across",1
"41","action",13
"42","active",3
"43","activity",1
"44","actress",2
"45","addict",2
"46","addicted",1
"47","addiction",3
"48","addition",3
"49","address",1
"50","adjacent",1
"51","adjective",4
"52","adjourn",1
"53","Admiral",1
"54","admire",6
"55","admirer",1
"56","admission",1
"57","adolescent",3
"58","adorable",1
"59","adultery",1
"60","adults",4
"61","advance",2
"62","advanced",2
"63","advantage",2
"64","adventure",5
"65","adventurous",1
"66","adverb",4
"67","adversary",1
"68","advertise",1
"69","advertisement",2
"70","advice",5
"71","advise",2
"72","aerobics",4
"73","aerosol",1
"74","affair",3
"75","affect",2
"76","affection",2
"77","afraid",11
"78","Africa",7
"79","afternoon",1
"80","against",8
"81","agenda",3
"82","aggravate",4
"83","aggravated",1
"84","aggravating",1
"85","aggressive",4
"86","agreement",7
"87","Agriculture",1
"88","aimless",1
"89","airline",1
"90","Airlines",1
"91","airplane",15
"92","airport",5
"93","Alaska",2
"94","Albert",2
"95","algebra",6
"96","aliens",1
"97","allegiance",1
"98","allergy",3
"99","alligator",3
"100","allowed",1
"101","Almighty",1
"102","almond",3
"103","alphabet",3
"104","Alright",1
"105","aluminum",5
"106","always",16
"107","amateur",5
"108","amazement",1
"109","ambiguous",2
"110","ambition",2
"111","ambulance",2
"112","America",13
"113","American",13
"114","amoeba",1
"115","amount",14
"116","amplify",2
"117","amusing",1
"118","analysis",1
"119","analyze",2
"120","anarchy",2
"121","anatomy",2
"122","ancestor",1
"123","ancient",7
"124","android",1
"125","anemia",1
"126","anguish",2
"127","animals",8
"128","animation",1
"129","ankles",1
"130","anklet",1
"131","annihilate",1
"132","announce",1
"133","annoying",9
"134","annual",1
"135","annually",2
"136","anonymous",1
"137","anorexia",1
"138","another",2
"139","anteater",1
"140","antelope",1
"141","anthem",1
"142","antidote",1
"143","antimatter",1
"144","antiperspirant",1
"145","antique",1
"146","antisocial",1
"147","antithesis",1
"148","antler",3
"149","anxiety",3
"150","anxious",8
"151","anyone",1
"152","anything",5
"153","anywhere",1
"154","apartheid",1
"155","apartment",11
"156","apathetic",1
"157","apathy",2
"158","apology",1
"159","apparent",1
"160","appeal",1
"161","appear",4
"162","appearance",2
"163","appetite",1
"164","applause",1
"165","appliance",2
"166","application",1
"167","appoint",1
"168","appointment",3
"169","appraise",1
"170","appreciation",1
"171","approve",1
"172","approximate",1
"173","Aquarius",1
"174","Arachnid",1
"175","arches",1
"176","architect",3
"177","architecture",1
"178","argument",6
"179","Aristotle",1
"180","arithmetic",1
"181","around",10
"182","arrest",1
"183","arrive",4
"184","arrogant",5
"185","artery",1
"186","article",4
"187","artifact",1
"188","artifacts",1
"189","artist",9
"190","artistic",2
"191","ascend",2
"192","ascent",1
"193","ashamed",1
"194","ashtray",1
"195","asleep",4
"196","asphalt",3
"197","aspirin",8
"198","assault",2
"199","assemble",1
"200","assignment",1
"201","assist",2
"202","assistant",4
"203","associate",1
"204","assume",2
"205","asteroid",2
"206","astonish",1
"207","astound",1
"208","astrology",2
"209","astronomy",2
"210","asylum",1
"211","atheist",1
"212","athlete",9
"213","athletic",4
"214","Atlantic",1
"215","atmosphere",3
"216","atomic",1
"217","attach",3
"218","attache",1
"219","attack",8
"220","attempt",1
"221","attend",1
"222","attendance",1
"223","attendant",1
"224","attention",4
"225","attentive",2
"226","attire",1
"227","attitude",3
"228","attorney",4
"229","attract",3
"230","attraction",1
"231","attractive",3
"232","audience",1
"233","August",2
"234","Australia",1
"235","authentic",1
"236","author",5
"237","authority",7
"238","automatic",1
"239","automobile",1
"240","autumn",3
"241","available",1
"242","avenge",1
"243","Avenue",2
"244","average",10
"245","awareness",1
"246","awesome",6
"247","awkward",1
"248","babbling",1
"249","babies",1
"250","bachelor",2
"251","backbone",1
"252","background",2
"253","backpack",4
"254","backward",2
"255","bacteria",5
"256","badness",1
"257","baffle",1
"258","baggage",3
"259","Bahamas",2
"260","bakery",2
"261","balance",3
"262","balcony",1
"263","ballad",1
"264","ballerina",2
"265","ballet",7
"266","balloon",2
"267","ballot",1
"268","baloney",1
"269","bamboo",1
"270","banana",6
"271","bandage",3
"272","bandanna",1
"273","bandit",3
"274","banquet",1
"275","Baptist",2
"276","barbecue",7
"277","barbed",1
"278","barbells",1
"279","barber",1
"280","Barbie",1
"281","bargain",4
"282","barley",2
"283","Barney",1
"284","barrel",2
"285","barrette",1
"286","barricade",3
"287","barrier",3
"288","barter",1
"289","basement",6
"290","bashful",2
"291","basket",9
"292","basketball",15
"293","bathroom",9
"294","bathtub",3
"295","Batman",2
"296","battery",5
"297","battle",3
"298","beaker",1
"299","beanstalk",2
"300","Beatles",2
"301","beautify",1
"302","beauty",14
"303","Beaver",4
"304","became",1
"305","because",5
"306","bedroom",3
"307","bedtime",1
"308","beetle",1
"309","before",5
"310","beginner",3
"311","beginning",6
"312","behavior",7
"313","behind",5
"314","belfry",1
"315","belief",12
"316","beliefs",2
"317","believe",7
"318","believer",1
"319","belittle",1
"320","belong",3
"321","belonging",2
"322","beneath",3
"323","benefit",2
"324","benign",1
"325","Bermuda",1
"326","betray",2
"327","betrayal",1
"328","better",5
"329","between",1
"330","Beware",3
"331","beyond",2
"332","bicycle",11
"333","bigger",1
"334","bigotry",1
"335","billboard",1
"336","billfold",1
"337","billion",1
"338","binder",1
"339","binding",1
"340","binoculars",1
"341","biologist",1
"342","biology",11
"343","birthday",8
"344","Biscuit",3
"345","Bishop",1
"346","bitches",1
"347","bitter",4
"348","bizarre",1
"349","blackboard",2
"350","blackmail",2
"351","blacks",2
"352","blades",1
"353","blanket",9
"354","blankets",1
"355","bleach",7
"356","blemish",3
"357","blended",1
"358","blender",1
"359","blindfold",1
"360","blinds",2
"361","blister",1
"362","blockade",1
"363","blocks",3
"364","blonde",8
"365","bloody",1
"366","blossom",1
"367","blotter",1
"368","blouse",3
"369","blubber",1
"370","blueberry",4
"371","Bluejay",1
"372","blueprint",1
"373","blurry",2
"374","boardwalk",1
"375","boiled",1
"376","bologna",1
"377","bonnet",1
"378","booger",1
"379","booklet",1
"380","border",1
"381","boredom",1
"382","borrow",7
"383","bother",11
"384","bothersome",1
"385","bottle",10
"386","bottom",5
"387","bottomless",1
"388","bought",1
"389","bouillon",1
"390","Boulder",2
"391","Boulevard",2
"392","bounce",6
"393","boundary",3
"394","bounty",1
"395","bouquet",1
"396","bourbon",2
"397","bowling",2
"398","boxing",2
"399","boyfriend",8
"400","bracelet",5
"401","braces",2
"402","branch",6
"403","brandy",1
"404","bravery",2
"405","breakable",5
"406","breakdown",2
"407","breaker",1
"408","breakfast",15
"409","breast",2
"410","breasts",2
"411","breath",12
"412","breathe",12
"413","breeze",3
"414","breezeway",1
"415","bricks",3
"416","bridge",6
"417","briefcase",2
"418","bright",24
"419","brightness",1
"420","brilliant",2
"421","Britain",1
"422","broccoli",5
"423","broken",17
"424","broker",1
"425","bronze",3
"426","brother",13
"427","brotherhood",1
"428","brothers",2
"429","brought",1
"430","Brownie",1
"431","bruise",1
"432","bruises",1
"433","brunette",1
"434","bubble",9
"435","buccaneer",1
"436","bucket",3
"437","buckle",2
"438","Buffalo",3
"439","builder",3
"440","buildings",1
"441","bullet",4
"442","bulletin",1
"443","bumble",1
"444","bumper",2
"445","bunches",1
"446","buoyant",1
"447","burden",1
"448","burglar",5
"449","burglary",2
"450","burial",3
"451","burner",1
"452","burning",1
"453","business",17
"454","businessman",1
"455","Buster",1
"456","bustle",1
"457","busybody",1
"458","butler",2
"459","butter",20
"460","butterfly",5
"461","button",10
"462","buttons",1
"463","cabbage",3
"464","cabinet",4
"465","caboodle",1
"466","caboose",1
"467","cactus",1
"468","Caesar",1
"469","cafeteria",1
"470","caffeine",1
"471","calculate",2
"472","calculator",4
"473","calculus",5
"474","calendar",5
"475","California",5
"476","calories",2
"477","camera",11
"478","campaign",2
"479","Campbell",1
"480","camper",1
"481","camping",7
"482","campus",1
"483","Canada",1
"484","canary",1
"485","cancel",1
"486","cancer",12
"487","candidate",1
"488","candle",10
"489","canter",1
"490","canvas",1
"491","Canyon",2
"492","capability",2
"493","capable",1
"494","capacity",1
"495","Capone",1
"496","Capricorn",2
"497","capsule",1
"498","Captain",5
"499","captive",2
"500","capture",3
"501","captured",1
"502","carbohydrates",1
"503","carbon",2
"504","carbonation",1
"505","cardboard",1
"506","Cardinal",2
"507","career",3
"508","carefree",1
"509","careful",11
"510","careless",2
"511","caress",2
"512","caring",11
"513","carnation",1
"514","carnival",4
"515","Carpenter",1
"516","carpet",8
"517","carriage",2
"518","carrier",1
"519","carrot",5
"520","carrots",2
"521","carton",1
"522","cartoon",4
"523","cashew",2
"524","cashews",1
"525","cashier",1
"526","casino",1
"527","Casper",1
"528","cassette",1
"529","castle",8
"530","casual",2
"531","catastrophe",1
"532","catcher",1
"533","catchy",1
"534","caterpillar",2
"535","Catholic",14
"536","cattle",3
"537","caught",2
"538","cauliflower",1
"539","caution",6
"540","cautious",2
"541","cavern",1
"542","cavity",1
"543","ceiling",6
"544","celebrate",2
"545","celebration",3
"546","celebrity",1
"547","celery",3
"548","cellar",3
"549","cement",13
"550","cemetery",4
"551","censor",1
"552","center",9
"553","centipede",1
"554","century",2
"555","ceramic",2
"556","ceramics",1
"557","cereal",16
"558","ceremony",2
"559","certain",2
"560","certificate",1
"561","chains",2
"562","chairperson",1
"563","chalkboard",1
"564","challenge",4
"565","chamber",1
"566","champagne",1
"567","champion",2
"568","chance",10
"569","channel",1
"570","chapped",1
"571","chapter",2
"572","character",3
"573","characteristic",1
"574","charge",4
"575","charity",2
"576","Charles",1
"577","Charlie",1
"578","charming",1
"579","charred",1
"580","chastise",1
"581","chatter",1
"582","chauffeur",2
"583","cheater",1
"584","checkered",1
"585","checkers",2
"586","checking",1
"587","Cheddar",1
"588","cheerleader",3
"589","cheese",22
"590","Cheetah",2
"591","chemical",8
"592","chemist",1
"593","cherish",1
"594","Cherokee",1
"595","cherry",7
"596","childhood",2
"597","childish",1
"598","children",24
"599","chimney",2
"600","chimpanzee",2
"601","Chinese",3
"602","chipmunk",1
"603","chipped",1
"604","choice",12
"605","choices",1
"606","choose",9
"607","chopper",1
"608","chorus",1
"609","chowder",1
"610","Christ",5
"611","Christian",7
"612","Christmas",20
"613","Christopher",1
"614","chromosomes",1
"615","cigarette",19
"616","Cinderella",1
"617","cinnamon",1
"618","circle",23
"619","circumference",1
"620","circumstance",1
"621","circus",6
"622","citizen",3
"623","citrus",1
"624","clarify",1
"625","clarinet",5
"626","classes",1
"627","classified",1
"628","classy",1
"629","clause",1
"630","cleaner",4
"631","cleaning",1
"632","cleanliness",2
"633","cleaver",1
"634","clever",2
"635","cliche",1
"636","client",1
"637","cliffs",1
"638","climate",2
"639","climax",1
"640","climber",1
"641","clinic",1
"642","clipper",2
"643","clippers",2
"644","clockwise",1
"645","closed",2
"646","closer",1
"647","closet",9
"648","closing",1
"649","clothing",2
"650","cloudy",6
"651","clover",1
"652","clowns",1
"653","clueless",1
"654","clumsy",4
"655","clutter",1
"656","coarse",1
"657","cobweb",1
"658","cocaine",5
"659","cockroach",1
"660","cocktail",1
"661","coerce",1
"662","coffee",19
"663","coffin",1
"664","colder",2
"665","coleslaw",1
"666","collapse",1
"667","collar",6
"668","colleague",1
"669","collect",5
"670","collected",1
"671","collector",1
"672","college",16
"673","collision",1
"674","cologne",3
"675","Colonel",3
"676","Colorado",1
"677","colors",2
"678","Columbus",2
"679","column",3
"680","combination",1
"681","combine",2
"682","combined",1
"683","combustion",1
"684","comedian",2
"685","comedy",5
"686","comfort",8
"687","comfortable",8
"688","comics",1
"689","command",2
"690","Commandments",1
"691","commencement",1
"692","comment",5
"693","commerce",1
"694","commercial",3
"695","commission",1
"696","commitment",4
"697","committee",3
"698","common",9
"699","communicate",2
"700","communication",4
"701","communism",2
"702","Communist",2
"703","community",2
"704","compact",1
"705","companion",3
"706","company",13
"707","compare",2
"708","compass",2
"709","compassion",1
"710","compete",3
"711","competence",1
"712","competition",3
"713","complain",3
"714","complete",6
"715","complex",6
"716","complicated",1
"717","compliment",2
"718","components",1
"719","compose",2
"720","compound",2
"721","comprehend",2
"722","compromise",3
"723","compulsive",1
"724","compute",1
"725","conceal",1
"726","conceit",2
"727","conceited",8
"728","concentrate",2
"729","concept",2
"730","concern",4
"731","concert",6
"732","conclude",1
"733","conclusion",5
"734","concoction",1
"735","concrete",9
"736","condemn",1
"737","condiment",1
"738","condition",4
"739","conditioned",1
"740","conditioner",1
"741","conditions",1
"742","condom",4
"743","conductor",2
"744","Confederacy",1
"745","conference",2
"746","confess",1
"747","confession",2
"748","confidence",1
"749","confident",1
"750","confidential",3
"751","conflict",2
"752","confuse",4
"753","confused",5
"754","confusing",1
"755","confusion",9
"756","congestion",1
"757","Congress",3
"758","Congressman",1
"759","connect",3
"760","connections",1
"761","connive",1
"762","conniving",1
"763","conquer",6
"764","conscience",1
"765","conscious",3
"766","consent",2
"767","consequence",2
"768","conservative",2
"769","consistent",1
"770","Constitution",1
"771","construct",1
"772","construction",7
"773","constructive",1
"774","constructor",1
"775","consume",1
"776","consumer",3
"777","contact",2
"778","contacts",2
"779","container",10
"780","contemplate",1
"781","contemporary",1
"782","content",3
"783","contest",2
"784","continent",3
"785","continuous",2
"786","contract",4
"787","contractor",1
"788","contraption",1
"789","contrary",1
"790","control",12
"791","convent",1
"792","conversation",3
"793","converse",2
"794","convict",4
"795","convince",1
"796","cooked",4
"797","cooker",1
"798","cookie",19
"799","cookies",4
"800","cooking",3
"801","cookout",1
"802","coolant",1
"803","cooler",3
"804","coordination",1
"805","copier",2
"806","copper",5
"807","corner",3
"808","corporation",3
"809","correct",14
"810","corridor",2
"811","corrode",1
"812","corrupt",3
"813","cosine",1
"814","cosmetics",1
"815","cosmonaut",1
"816","costume",3
"817","cottage",1
"818","cotton",11
"819","council",1
"820","counsel",2
"821","couple",7
"822","courage",6
"823","course",4
"824","courteous",1
"825","cousin",4
"826","coverage",1
"827","covered",1
"828","coward",5
"829","cowboy",11
"830","cowgirl",1
"831","cracked",1
"832","cracker",7
"833","crackers",1
"834","crackle",2
"835","crafts",1
"836","crater",1
"837","crayon",2
"838","crease",2
"839","create",11
"840","created",1
"841","creative",2
"842","creativity",1
"843","creator",3
"844","creature",1
"845","credit",3
"846","cricket",2
"847","criminal",22
"848","cripple",3
"849","crisis",2
"850","crisscross",1
"851","criteria",1
"852","critical",1
"853","criticism",1
"854","criticize",3
"855","critique",1
"856","crochet",2
"857","crocodile",1
"858","crooked",6
"859","crossing",2
"860","crossword",1
"861","crowded",1
"862","crucial",1
"863","cruise",2
"864","crumble",1
"865","crumbs",1
"866","crunch",2
"867","crunchy",3
"868","crutch",1
"869","crystal",3
"870","cucumber",4
"871","cuddle",3
"872","cuddly",1
"873","cuisine",1
"874","culture",5
"875","cunning",1
"876","cupboard",2
"877","cupcake",1
"878","curfew",1
"879","curiosity",1
"880","curious",3
"881","current",4
"882","cursive",2
"883","curtain",5
"884","curtains",2
"885","curtsey",1
"886","curved",1
"887","cushion",5
"888","custom",2
"889","customer",3
"890","cutlet",1
"891","dagger",3
"892","daiquiri",1
"893","daisies",1
"894","Dallas",1
"895","Dalmatian",1
"896","damage",2
"897","dancer",8
"898","dandelion",1
"899","dandruff",4
"900","dangerous",6
"901","Danish",1
"902","daring",2
"903","darker",1
"904","darkness",1
"905","dashboard",1
"906","daughter",2
"907","daybreak",1
"908","deadline",1
"909","deadly",2
"910","debate",3
"911","decade",2
"912","decades",1
"913","deceit",1
"914","deceive",6
"915","Decelerate",1
"916","December",1
"917","decide",5
"918","decided",1
"919","deciding",1
"920","decision",5
"921","declaration",1
"922","decline",1
"923","decompose",1
"924","decorate",2
"925","decoration",2
"926","decorative",1
"927","decorator",1
"928","decrease",4
"929","dedicate",1
"930","dedication",1
"931","defeat",6
"932","defend",4
"933","defendant",1
"934","defense",1
"935","deficit",1
"936","define",1
"937","definite",2
"938","definition",4
"939","definitions",1
"940","deflation",1
"941","defrost",1
"942","degrade",2
"943","degree",6
"944","degrees",2
"945","delayed",1
"946","delicate",2
"947","delicious",3
"948","delinquent",1
"949","deliver",4
"950","delusion",1
"951","demand",3
"952","demean",1
"953","democracy",3
"954","Democrat",3
"955","Democratic",2
"956","demolish",2
"957","demonstrate",1
"958","demonstration",1
"959","denial",1
"960","denominator",1
"961","dental",1
"962","dentist",6
"963","deodorant",5
"964","depart",1
"965","depend",1
"966","dependable",2
"967","dependent",2
"968","deplete",1
"969","depletion",1
"970","deposit",2
"971","depress",1
"972","depressed",9
"973","depression",2
"974","deputy",1
"975","descend",1
"976","descendent",1
"977","descent",1
"978","describe",4
"979","description",1
"980","desert",12
"981","deserve",1
"982","design",7
"983","designer",3
"984","desire",11
"985","despair",2
"986","dessert",7
"987","destiny",1
"988","destroy",22
"989","destroyer",1
"990","destruct",1
"991","destruction",9
"992","destructive",1
"993","detach",1
"994","detail",4
"995","details",1
"996","Detective",2
"997","detergent",5
"998","deteriorate",3
"999","determine",2
"1000","determined",1
"1001","Detroit",1
"1002","develop",1
"1003","development",2
"1004","devils",1
"1005","devious",1
"1006","diagnosis",1
"1007","diagram",1
"1008","diamond",19
"1009","diapers",1
"1010","dictator",2
"1011","dictionary",10
"1012","differ",1
"1013","difference",1
"1014","difficult",7
"1015","digest",1
"1016","digestion",1
"1017","Digger",2
"1018","digital",1
"1019","digits",1
"1020","dilemma",1
"1021","dilute",1
"1022","diminish",3
"1023","dinosaur",3
"1024","dioxide",2
"1025","diploma",3
"1026","diplomacy",1
"1027","direct",3
"1028","direction",6
"1029","directions",4
"1030","director",2
"1031","disability",2
"1032","disable",1
"1033","disabled",2
"1034","disagree",5
"1035","disagreement",2
"1036","disappear",9
"1037","disappoint",1
"1038","disappointed",1
"1039","disapproval",1
"1040","disassociate",1
"1041","disaster",8
"1042","disbelief",2
"1043","disbelieve",1
"1044","disciple",1
"1045","disciples",1
"1046","discipline",3
"1047","discomfort",1
"1048","disconnect",1
"1049","discount",1
"1050","discourage",1
"1051","discover",5
"1052","discreet",1
"1053","discrete",1
"1054","discriminate",1
"1055","discuss",2
"1056","discussion",2
"1057","disease",19
"1058","disgrace",1
"1059","disguise",2
"1060","disgust",1
"1061","disgusting",8
"1062","dishes",8
"1063","dishonest",3
"1064","dishonesty",1
"1065","dishonor",1
"1066","dishwasher",1
"1067","disinfectant",1
"1068","disintegrate",2
"1069","dislike",9
"1070","disloyal",1
"1071","dismay",1
"1072","dismiss",1
"1073","Disney",3
"1074","disobey",1
"1075","disorder",5
"1076","disorderly",1
"1077","disorganized",1
"1078","disown",1
"1079","dispense",1
"1080","display",1
"1081","disprove",1
"1082","dispute",1
"1083","disrupt",1
"1084","dissatisfaction",1
"1085","dissertation",1
"1086","dissolve",1
"1087","dissuade",1
"1088","distance",5
"1089","distant",2
"1090","distrust",2
"1091","disturb",3
"1092","disuse",1
"1093","divide",6
"1094","dividend",1
"1095","diving",2
"1096","division",3
"1097","divorce",5
"1098","docile",1
"1099","doctoral",1
"1100","document",5
"1101","Dodger",1
"1102","dollar",11
"1103","dollars",5
"1104","dolphin",5
"1105","domain",1
"1106","domestic",1
"1107","dominate",3
"1108","domineering",1
"1109","Dominican",1
"1110","donkey",4
"1111","doodle",1
"1112","doorbell",2
"1113","doorway",2
"1114","double",8
"1115","doubtful",1
"1116","doughnut",5
"1117","doughnuts",1
"1118","downstairs",2
"1119","downstream",1
"1120","Dragon",5
"1121","drainage",1
"1122","drapes",3
"1123","drawer",3
"1124","drawing",7
"1125","dreams",1
"1126","dreary",2
"1127","drench",1
"1128","dresser",3
"1129","dressing",5
"1130","dressy",2
"1131","drinking",1
"1132","drinks",1
"1133","driver",16
"1134","drivers",1
"1135","driveway",3
"1136","driving",2
"1137","duckling",1
"1138","dumbfounded",1
"1139","dungarees",1
"1140","dungeon",3
"1141","duplicate",2
"1142","duster",1
"1143","dwarves",2
"1144","dynamite",3
"1145","Dynasty",1
"1146","earnings",1
"1147","earring",5
"1148","earrings",1
"1149","earthquake",4
"1150","Easter",2
"1151","eating",1
"1152","economy",2
"1153","ecstatic",1
"1154","Edison",1
"1155","editor",1
"1156","educate",2
"1157","education",7
"1158","effect",3
"1159","effort",2
"1160","Eiffel",1
"1161","Eighteen",2
"1162","Einstein",3
"1163","elaborate",2
"1164","elbows",1
"1165","elderly",2
"1166","Elders",1
"1167","election",4
"1168","electric",8
"1169","electrician",1
"1170","electricity",16
"1171","electrocute",1
"1172","electron",3
"1173","elegant",4
"1174","element",4
"1175","elements",2
"1176","elephant",12
"1177","elevator",6
"1178","eleven",3
"1179","elimination",1
"1180","embarrass",7
"1181","embrace",1
"1182","Emerald",2
"1183","emergency",5
"1184","emotion",6
"1185","emotional",1
"1186","emotions",1
"1187","empathetic",2
"1188","empathy",3
"1189","emperor",1
"1190","emphasize",1
"1191","empire",4
"1192","employee",5
"1193","employees",2
"1194","employer",2
"1195","employment",1
"1196","enclosed",1
"1197","encompassing",1
"1198","encourage",2
"1199","encyclopedia",4
"1200","endearment",1
"1201","ending",4
"1202","endless",2
"1203","endocrine",1
"1204","endurance",1
"1205","enemies",1
"1206","energetic",2
"1207","energy",15
"1208","enforcement",2
"1209","engage",1
"1210","engagement",3
"1211","engine",11
"1212","engineer",4
"1213","England",5
"1214","English",24
"1215","enjoyment",1
"1216","enlarge",2
"1217","enlist",1
"1218","enough",2
"1219","Enterprise",1
"1220","entertain",2
"1221","entertainment",3
"1222","enthusiastic",1
"1223","entrance",5
"1224","envelope",5
"1225","environment",7
"1226","epidermis",1
"1227","equation",1
"1228","equilibrium",1
"1229","eraser",4
"1230","escalator",2
"1231","escape",5
"1232","escargot",1
"1233","Eskimo",1
"1234","espionage",1
"1235","estate",1
"1236","esteem",2
"1237","estimate",1
"1238","estrogen",1
"1239","eternal",2
"1240","eternity",4
"1241","ethics",1
"1242","Ethiopia",2
"1243","etiquette",1
"1244","Europe",7
"1245","evaluate",1
"1246","evaporate",1
"1247","evening",7
"1248","events",1
"1249","everyday",3
"1250","everyone",1
"1251","everything",4
"1252","evidence",3
"1253","evolution",1
"1254","examination",1
"1255","examine",2
"1256","example",2
"1257","excellent",4
"1258","exceptional",1
"1259","excess",1
"1260","exchange",4
"1261","excite",2
